# RareLink-CDM SSSOM Template File
# This template maps source data elements from a registry CSV file to the target RareLink-CDM schema.
#
# Columns:
#   subject_id      : Unique identifier for the source record (<record_id>).
#   subject_label   : Human-readable label for the source record (<source_label>).
#   predicate_id    : Fully qualified target element (e.g., rarelink_cdm:snomedct_184099003).
#   predicate_label : Title of the target element from the schema.
#   object_id       : Target value – a literal (e.g., date, numeric) or a standardized code with prefix.
#   object_label    : Human-readable label for the target value (use "-" for dates/numerics when no label is needed).
#   match_type      : Mapping derivation type (e.g., "lexical").
#   mapping_date    : Date when the mapping was created (<mapping_date>).
#   mapping_tool    : Method used to create the mapping (e.g., "manual").
#
subject_id	subject_label	predicate_id	predicate_label	object_id	object_label	match_type	mapping_date	mapping_tool
# === Formal Criteria (Singular) ===
<record_id>	"<source_label>"	rarelink_cdm:snomedct_422549004	"1.1 Pseudonym"	<record_id>	<record_id>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_399423000	"1.2 Date of admission"	<record_id>	<record_id>	lexical	<mapping_date>	manual
#
# === Personal Information (Singular) ===
<record_id>	"<source_label>"	rarelink_cdm:snomedct_184099003	"2.1 Date of birth"	<dob>	-	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_281053000	"2.2 Sex at birth"	<SNOMEDCT_sex_code>	<sex_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_1296886006	"2.3 Karyotypic Sex"	<karyotype_code>	<karyotype_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_263493000	"2.4 Gender Identity"	<SNOMEDCT_gender_code>	<gender_identity_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_370159000	"2.5 Country of birth"	<ISO3166_code>	<ISO3166_code>	lexical	<mapping_date>	manual
#
# === Patient Status (Repeating Allowed) ===
<record_id>	"<source_label>"	rarelink_cdm:snomedct_278844005	"3.1 Vital Status"	<vital_status_code>	<vital_status_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_398299004	"3.2 Time of Death"	<death_date>	<death_date>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_184305005	"3.3 Cause of Death"	<cause_of_death_code>	<cause_of_death_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_105727008	"3.4 Age Category"	<age_category_code>	<age_category_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_412726003	"3.5 Length of Gestation at Birth"	<gestation_length>	<gestation_length>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_723663001	"3.6 Undiagnosed RD Case"	<undiagnosed_flag>	<undiagnosed_flag>	lexical	<mapping_date>	manual
#
# === Care Pathway (Repeating Allowed) ===
<record_id>	"<source_label>"	rarelink_cdm:hl7fhir_enc_period_start	"4.1 Encounter Start"	<encounter_start_date>	-	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:hl7fhir_enc_period_end	"4.2 Encounter End"	<encounter_end_date>	-	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_305058001	"4.3 Encounter Status"	<encounter_status_code>	<encounter_status_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:hl7fhir_encounter_class	"4.4 Encounter Class"	<encounter_class_code>	<encounter_class_label>	lexical	<mapping_date>	manual
#
# === Disease Information (Repeating Allowed) ===
<record_id>	"<source_label>"	rarelink_cdm:disease_coding	"5.0 Disease Coding System"	<disease_coding>	<disease_coding>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_64572001_mondo	"5.1 Disease [MONDO]"	<disease_mondocode>	<disease_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_64572001_ordo	"5.1 Disease [ORDO]"	<disease_ordocode>	<disease_ordolabel>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_64572001_icd10cm	"5.1 Disease [ICD-10-CM]"	<disease_icd10cm>	<disease_icd10cm_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_64572001_icd11	"5.1 Disease [ICD-11]"	<disease_icd11>	<disease_icd11_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_64572001_omim_p	"5.1 Disease [OMIM_p]"	<disease_omim>	<disease_omim_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:loinc_99498_8	"5.2 Verification status"	<verification_status>	<verification_status_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_424850005	"5.3 Age at onset"	<disease_age_onset>	<disease_age_onset>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_298059007	"5.4 Date of onset"	<disease_onset_date>	<disease_onset_date>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_423493009	"5.5 Age at diagnosis"	<disease_age_diagnosis>	<disease_age_diagnosis>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_432213005	"5.6 Date of diagnosis"	<disease_diagnosis_date>	<disease_diagnosis_date>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_363698007	"5.7 Body Site"	<disease_body_site_code>	<disease_body_site_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_263493007	"5.8 Clinical status"	<disease_clinical_status>	<disease_clinical_status_label>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_246112005	"5.9 Disease severity"	<disease_severity_code>	<disease_severity_label>	lexical	<mapping_date>	manual
#
# === Genetic Findings (Repeating Allowed) ===
<record_id>	"<source_label>"	rarelink_cdm:genetic_diagnosis_code	"6.0 Genetic Diagnosis Code System"	<genetic_diagnosis_system>	<genetic_diagnosis_system>	lexical	<mapping_date>	manual
<record_id>	"<source_label>"	rarelink_cdm:snomedct_106221001_mondo	"6.1.1 Genetic Diagnosis [MONDO]"	<genetic_diagnosis_mondocode>	<genetic_diagnosis_label>	lexical	<mapping_date>	manual
