# RareLink-CDM SSSOM Template File
# This template maps source data elements to target RareLink-CDM schema elements.
# The following columns are included:
# subject_id:        Unique identifier for the source record.
# subject_label:     Human-readable label for the source record.
# predicate_id:      Fully qualified target element (e.g., rarelink:snomedct_184099003).
# predicate_label:   The title of the target element from the schema (e.g., "2.1 Date of birth").
# object_id:         The target value (literal for dates or standardized code for coded fields).
# match_type:        How the mapping was derived (e.g., "lexical").
# mapping_date:      Date when the mapping was created.
# mapping_tool:      Method used to create the mapping (e.g., "manual").

subject_id   subject_label   predicate_id            predicate_label             object_id               match_type      mapping_date            mapping_tool
<record_id>  <Source Record Identifier>      rarelink:snomedct_184099003     "2.1 Date of birth"         <date_literal>              lexical         2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_281053000     "2.2 Sex at birth"          SNOMEDCT:248152002      lexical             2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_1296886006    "2.3 Karyotypic Sex"        <karyotypic_value>      lexical             2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_263493000     "2.4 Gender Identity"       SNOMEDCT:446141000124107    lexical     2023-01-01      manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_370159000     "2.5 Country of birth"      <country_code>              lexical         2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_422549004     "1.1 Pseudonym"         <pseudonym>                 lexical             2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_278844005     "3.1 Vital Status"              <vital_status>          lexical         2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_64572001_mondo        "5.1 Disease [MONDO]"   <mondo_code>            lexical         2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:loinc_lp7824_8     "6.1 Genetic Mutation String"       <mutation_literal>      lexical         2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:snomedct_8116006           "6.2.1 Phenotypic Feature"  <phenotype>                 lexical             2023-01-01          manual
<record_id>  <Source Record Identifier>      rarelink:ncit_c82577            "6.3.5 Time Observed"       <time_literal>              lexical         2023-01-01          manual

# --- Example of Repeating Elements ---
# The same patient (e.g., ADR001) can have multiple entries for repeated elements.
# For instance, if ADR001 has two phenotypic features, include two rows with the same subject_id.
ADR001       "Patient ADR001"        rarelink:snomedct_8116006           "6.2.1 Phenotypic Feature"  HP:0001250                  lexical             2023-01-01          manual
ADR001       "Patient ADR001"        rarelink:snomedct_8116006           "6.2.1 Phenotypic Feature"  HP:0003674                  lexical             2023-01-01          manual

# --- Example of Multiple Patients ---
# Each row with a different subject_id represents a mapping for a different patient.
ADR002       "Patient ADR002"        rarelink:snomedct_184099003     "2.1 Date of birth"             1982-07-30                  lexical             2023-01-01          manual
ADR002       "Patient ADR002"        rarelink:snomedct_281053000     "2.2 Sex at birth"              SNOMEDCT:248153007          lexical             2023-01-01          manual
ADR003       "Patient ADR003"        rarelink:snomedct_184099003     "2.1 Date of birth"             1965-11-05                  lexical             2023-01-01          manual
ADR003       "Patient ADR003"        rarelink:snomedct_281053000     "2.2 Sex at birth"              SNOMEDCT:248152002          lexical             2023-01-01          manual
